,Datetime,Average Sentiment,Average Adj Price,Normalised Average Price
0,2021-11-29 00:00:00+00:00,0.7831026101659095,377.0659441266741,0.9317460842809174
1,2021-11-30 00:00:00+00:00,0.7613600338159148,379.47000994001115,0.9425135368104295
2,2021-12-01 00:00:00+00:00,0.6274481313184685,377.5433349609375,0.9338842466878859
3,2021-12-02 00:00:00+00:00,0.5913161788016486,361.6171090262277,0.8625530540163183
4,2021-12-03 00:00:00+00:00,0.8028902039522352,341.6702314104353,0.7732139616135588
5,2021-12-06 00:00:00+00:00,0.8470622424178381,333.7469482421875,0.7377267570126297
6,2021-12-08 00:00:00+00:00,0.3469565676846667,352.4012451171875,0.8212765728948247
7,2021-12-10 00:00:00+00:00,0.8187546232695765,337.26197596958707,0.7534700424022082
8,2021-12-13 00:00:00+00:00,0.925354010356124,321.6240495954241,0.6834301005005844
9,2021-12-14 00:00:00+00:00,0.7798795308041848,315.9015808105469,0.6578000155624139
10,2021-12-16 00:00:00+00:00,0.6184173447462047,313.3042907714844,0.6461671405197124
11,2021-12-20 00:00:00+00:00,0.6909410334988906,300.7274605887277,0.5898373923017993
12,2021-12-21 00:00:00+00:00,0.6218693860298004,305.74102783203125,0.6122924128741581
13,2021-12-22 00:00:00+00:00,0.7246116453555955,333.2383292061942,0.7354487281436687
14,2021-12-23 00:00:00+00:00,0.995059706224242,352.2750680106027,0.8207114444370572
15,2021-12-27 00:00:00+00:00,0.5164720490330763,368.4210423060826,0.8930268572701124
16,2021-12-28 00:00:00+00:00,0.9892475958998206,363.7117832728795,0.8719347878234754
17,2021-12-30 00:00:00+00:00,0.6543907851632677,360.92606462751115,0.8594579691323329
18,2022-01-03 00:00:00+00:00,0.7517436330973266,392.3051016671317,0.9999999999999999
19,2022-01-06 00:00:00+00:00,0.8076323576032972,353.80198451450894,0.8275502759204255
20,2022-01-07 00:00:00+00:00,0.761562577054493,343.62935965401783,0.7819886050717261
21,2022-01-12 00:00:00+00:00,0.09280883440769311,366.8636256626674,0.886051420206945
22,2022-01-14 00:00:00+00:00,0.81060445947374,346.04456874302457,0.7928059666724173
23,2022-01-18 00:00:00+00:00,0.35505653598224673,347.61632864815846,0.7998456450674226
24,2022-01-19 00:00:00+00:00,0.8192328014371766,336.374032156808,0.74949307438414
25,2022-01-20 00:00:00+00:00,0.7214502095882209,340.36009434291293,0.7673460529217747
26,2022-01-21 00:00:00+00:00,0.016339955616612084,319.22408185686385,0.6726810026373117
27,2022-01-25 00:00:00+00:00,0.6543907851632677,307.7133309500558,0.6211260646316615
28,2022-01-26 00:00:00+00:00,0.9981771108527953,317.12022181919644,0.6632581270410415
29,2022-01-27 00:00:00+00:00,0.47395558138715704,284.3104727608817,0.5163081502430967
30,2022-01-31 00:00:00+00:00,0.7018387403571809,307.3695591517857,0.6195863619753018
31,2022-02-02 00:00:00+00:00,0.9212370988763254,301.8599940708705,0.5949098410007511
32,2022-02-03 00:00:00+00:00,0.947809891155025,303.6488603864397,0.602921906655392
33,2022-02-07 00:00:00+00:00,0.5198338264820883,305.68188912527904,0.6120275394193307
34,2022-02-09 00:00:00+00:00,0.9872926133361515,310.7461896623884,0.6347097868544859
35,2022-02-10 00:00:00+00:00,0.6870178590299061,306.70870535714283,0.6166264963080271
36,2022-02-11 00:00:00+00:00,0.563167071753144,291.9043927873884,0.5503201864131148
37,2022-02-14 00:00:00+00:00,0.5209764345345029,293.5685729980469,0.5577738015843007
38,2022-02-15 00:00:00+00:00,0.7812665116770582,305.8717258998326,0.6128777900435113
39,2022-02-17 00:00:00+00:00,0.32751241678114773,295.44495064871654,0.5661778174681166
40,2022-02-18 00:00:00+00:00,0.9842544647574767,284.10996791294644,0.5154101189079717
41,2022-02-22 00:00:00+00:00,0.6590668921060976,273.67832728794644,0.46868835504797757
42,2022-03-03 00:00:00+00:00,0.26635316495825856,283.96737234933033,0.514771454627802
43,2022-03-07 00:00:00+00:00,0.8078569164112862,274.1914847237723,0.4709867107334865
44,2022-03-09 00:00:00+00:00,0.7347300010567475,284.71167428152904,0.5181050720679373
45,2022-03-14 00:00:00+00:00,0.685164777101795,256.9810551234654,0.39390376121282167
46,2022-03-15 00:00:00+00:00,0.8934094191412169,264.72520664760043,0.42858866187356026
47,2022-03-17 00:00:00+00:00,0.8832030011624222,287.0669730050223,0.5286541040692002
48,2022-03-21 00:00:00+00:00,0.9995244637007294,307.1755632672991,0.6187174833175121
49,2022-03-22 00:00:00+00:00,0.9357233435485577,320.8480747767857,0.6799546249219074
50,2022-03-24 00:00:00+00:00,0.6863904153017015,335.8354971749442,0.7470810564516309
51,2022-03-25 00:00:00+00:00,0.7165979780901055,335.0010550362723,0.7433437144591909
52,2022-03-28 00:00:00+00:00,0.6777026313008561,362.0863560267857,0.8646547414056961
53,2022-03-30 00:00:00+00:00,0.995218218323999,366.390877859933,0.883934053246301
54,2022-04-01 00:00:00+00:00,0.9872397759695659,360.649169921875,0.8582177990080085
55,2022-04-04 00:00:00+00:00,0.9058966501109587,378.6092267717634,0.9386582172717998
56,2022-04-05 00:00:00+00:00,0.6914297791398079,367.84167044503346,0.8904319370411516
57,2022-04-07 00:00:00+00:00,0.7193845201612297,349.6112496512277,0.8087805989615752
58,2022-04-08 00:00:00+00:00,0.8881829229631197,344.3816659109933,0.7853580726897506
59,2022-04-14 00:00:00+00:00,0.7437387720596007,329.54569353376115,0.7189099632350177
60,2022-04-18 00:00:00+00:00,0.9969750607629717,333.72570364815846,0.7376316056417948
