,Unnamed: 0,Datetime,Tweet ID,Text,Username
52,0,2021-12-23 22:28:06+00:00,1474144811951214592,"10.8 looks good, rolling out today",elonmusk
53,1,2021-12-23 00:35:39+00:00,1473814525774336006,"Lots of Tesla cars to deliver before year end! Your support in taking delivery is much appreciated. 

Thanks also to the Tesla team working hard during the holidays!",elonmusk
54,0,2021-12-24 21:32:25+00:00,1474493189688070148,"Interesting
https://t.co/548FHpnnxU",elonmusk
55,1,2021-12-24 15:49:48+00:00,1474406965938114560,Tesla holiday software update goes to wide release today!,elonmusk
56,0,2021-12-25 21:53:31+00:00,1474860884359094275,Floki Santa https://t.co/y3CTq16bGi,elonmusk
57,1,2021-12-25 20:17:37+00:00,1474836752619741188,Merry Christmas 🎄🎁 ⛄️ ⭐️ 😃,elonmusk
58,0,2021-12-27 03:51:33+00:00,1475313375597019140,Physics formulas are the rendering rules,elonmusk
59,1,2021-12-27 03:49:50+00:00,1475312943420121088,"So much of AI is about compressing reality to a small vector space, like a video game in reverse",elonmusk
60,0,2021-12-28 21:18:21+00:00,1475939200218370049,Lex asks great questions https://t.co/TlyuEGoOVA,elonmusk
61,0,2021-12-30 06:27:15+00:00,1476439722046238725,https://t.co/OCUqr6xd9d,elonmusk
62,1,2021-12-30 06:18:38+00:00,1476437555717541893,https://t.co/mVhCpxVPZI,elonmusk
63,0,2022-01-02 22:56:00+00:00,1477775713172402176,https://t.co/LA9hPzVlGx,elonmusk
64,1,2022-01-02 18:19:33+00:00,1477706142461706248,Let’s make the roaring 20’s happen!,elonmusk
65,2,2022-01-02 17:56:50+00:00,1477700424933253123,Great work by Tesla team worldwide! https://t.co/lsDTCJtMrp,elonmusk
66,0,2022-01-03 22:04:59+00:00,1478125263233990657,Raptor 2 now operates routinely at 300 bar main chamber pressure,elonmusk
67,0,2022-01-06 23:39:59+00:00,1479236333516165121,Starlinks with “lasers” deployed to orbit https://t.co/Y1eg9gl7sJ,elonmusk
68,1,2022-01-06 06:51:11+00:00,1478982460981481472,nice,elonmusk
69,0,2022-01-07 23:28:12+00:00,1479595757388845059,FSD price will rise as we get closer to FSD production code release,elonmusk
70,1,2022-01-07 23:26:23+00:00,1479595300360757248,Just in the US,elonmusk
71,2,2022-01-07 23:09:17+00:00,1479590995595517958,Tesla FSD price rising to $12k on Jan 17,elonmusk
72,0,2022-01-09 23:53:14+00:00,1480326831031173124,Starship launch &amp; catch tower https://t.co/5mLIQwwu0k,elonmusk
73,1,2022-01-09 08:25:44+00:00,1480093419334782981,https://t.co/uiHoMrpifZ,elonmusk
74,0,2022-01-12 04:10:25+00:00,1481116331680440324,Bizarre anti-environment move by govt of California https://t.co/1OwdBNWbxT,elonmusk
75,0,2022-01-14 06:18:50+00:00,1481873421390680065,Tesla merch buyable with Dogecoin,elonmusk
76,0,2022-01-15 23:30:10+00:00,1482495353542754308,https://t.co/6qGivJoQf0,elonmusk
77,1,2022-01-15 18:50:33+00:00,1482424984962101249,"1469 Starlink satellites active
272 moving to operational orbits
Laser links activate soon",elonmusk
78,2,2022-01-15 07:09:37+00:00,1482248590151983110,🔝,elonmusk
79,0,2022-01-16 23:32:47+00:00,1482858399889084416,😅,elonmusk
80,1,2022-01-16 23:31:47+00:00,1482858149900136448,Good thing I never tweet anything controversial https://t.co/T7sD1q1hvd,elonmusk
81,2,2022-01-16 23:12:29+00:00,1482853293814599686,It is heartening to see the rise of individualist vs corporate media https://t.co/7w9WDHhO3o,elonmusk
82,3,2022-01-16 06:19:15+00:00,1482598301694238723,So informative https://t.co/rTktvhYukK,elonmusk
83,0,2022-01-18 19:49:30+00:00,1483526984223367173,https://t.co/OE5bjbf6Gq,elonmusk
84,1,2022-01-18 19:47:25+00:00,1483526459021012998,https://t.co/xMaVipUuYf,elonmusk
85,2,2022-01-18 17:08:52+00:00,1483486559336910850,"If there aren’t enough people for Earth, then there definitely won’t be enough for Mars ☹️",elonmusk
86,3,2022-01-18 17:05:50+00:00,1483485798548840450,"UN projections are utter nonsense. Just multiply last year’s births by life expectancy. Given downward trend in birth rate, that is best case unless reversed.",elonmusk
87,4,2022-01-18 17:02:24+00:00,1483484932961972227,We should be much more worried about population collapse,elonmusk
88,0,2022-01-19 09:11:10+00:00,1483728729545363457,"Tesla AI might play a role in AGI, given that it trains against the outside world, especially with the advent of Optimus",elonmusk
89,1,2022-01-19 08:28:16+00:00,1483717933700366336,https://t.co/n2ivCG4E8b,elonmusk
90,2,2022-01-19 02:51:53+00:00,1483633282482847744,Believe in the future!,elonmusk
91,3,2022-01-19 02:49:42+00:00,1483632730298621954,Back to the moon soon,elonmusk
92,4,2022-01-19 02:46:07+00:00,1483631831748685835,https://t.co/vltBvTXExY,elonmusk
93,0,2022-01-20 03:57:33+00:00,1484012192915677184,Maybe something like this https://t.co/PUBLdaewt8,elonmusk
94,1,2022-01-20 03:45:25+00:00,1484009139756056583,https://t.co/rTlxHR4zi1,elonmusk
95,2,2022-01-20 03:17:49+00:00,1484002196538671106,Frank &amp; Beans https://t.co/xJfuW6HKs4,elonmusk
96,0,2022-01-21 09:23:26+00:00,1484456594775678976,Twitter is spending engineering resources on this bs while crypto scammers are throwing a spambot block party in every thread!?,elonmusk
97,1,2022-01-21 09:12:41+00:00,1484453889671942144,This is annoying https://t.co/KAkDl29CTX,elonmusk
98,0,2022-01-25 12:39:40+00:00,1485955529813987330,https://t.co/iLfCWdi0Lb,elonmusk
99,1,2022-01-25 10:48:55+00:00,1485927658294845442,https://t.co/ReDlSVLcl7,elonmusk
100,2,2022-01-25 10:43:54+00:00,1485926395633152006,https://t.co/gT0jq8Z6iH,elonmusk
101,0,2022-01-26 01:07:59+00:00,1486143850368360448,Been driving latest Cybertruck prototype around Giga Texas. It’s awesome!,elonmusk
102,0,2022-01-27 23:56:10+00:00,1486850549928579075,And in the darkness bind them https://t.co/BvxR4HTTq1,elonmusk
103,1,2022-01-27 23:39:57+00:00,1486846468887560201,"If you scare people enough, they will demand removal of freedom. This is the path to tyranny.",elonmusk
104,2,2022-01-27 22:24:24+00:00,1486827458632503297,Seems odd that the UN still hasn’t released 2020 world death rates,elonmusk
105,3,2022-01-27 21:00:09+00:00,1486806256027422730,CB radios are free from govt/media control,elonmusk
106,4,2022-01-27 18:45:22+00:00,1486772334635536395,Canadian truckers rule,elonmusk
107,5,2022-01-27 17:31:57+00:00,1486753860555358216,Je m’aple syrup,elonmusk
108,0,2022-01-29 23:39:10+00:00,1487571050636484609,Just rewatched True Romance ♥️,elonmusk
109,1,2022-01-29 11:21:38+00:00,1487385441292754946,Lie back and think of Mars,elonmusk
110,2,2022-01-29 06:48:49+00:00,1487316787385581570,https://t.co/ryK36jvxNx,elonmusk
111,3,2022-01-29 05:25:18+00:00,1487295769749168128,The Universe is a Hydrogen Sonata,elonmusk
112,0,2022-01-30 22:51:10+00:00,1487921357476155393,Halo Infinite campaign is good,elonmusk
113,1,2022-01-30 18:52:01+00:00,1487861173626101760,So many Hitlers! https://t.co/52sUuPcB93,elonmusk
114,2,2022-01-30 17:38:35+00:00,1487842692704862214,https://t.co/QEwmhecTmE,elonmusk
115,3,2022-01-30 08:26:30+00:00,1487703756112154628,https://t.co/wTIHLyVkYw,elonmusk
116,0,2022-01-31 21:54:22+00:00,1488269452588326913,"Denmark just ended Covid restrictions
 https://t.co/tg12nar2CJ",elonmusk
117,1,2022-01-31 06:39:35+00:00,1488039236494311424,https://t.co/dFwIuBVcD0,elonmusk
118,0,2022-02-02 16:43:49+00:00,1488916075781799942,"SpaceX standard antenna production rises rapidly this year, so those with orders shouldn’t have to wait long.

Note, Starlink can only support a limited number of users in an area, so best to order early.",elonmusk
119,1,2022-02-02 10:37:30+00:00,1488823885931941893,"Exciting progress at Starbase, Texas!",elonmusk
120,2,2022-02-02 05:28:41+00:00,1488746173498212353,Starlink high performance antenna https://t.co/83kIQSNV3l,elonmusk
121,0,2022-02-03 21:32:56+00:00,1489351220628230147,"If things go well, Falcon will launch about once a week on average in 2022, delivering ~2/3 of all Earth payload to orbit",elonmusk
122,1,2022-02-03 20:50:45+00:00,1489340604215615492,Congrats SpaceX Falcon team! https://t.co/ZplhTv0QcH,elonmusk
123,0,2022-02-05 20:19:53+00:00,1490057614436282383,https://t.co/fm7mJLuf97,elonmusk
124,0,2022-02-06 01:38:11+00:00,1490137716377411588,[Satire],elonmusk
125,1,2022-02-06 01:37:28+00:00,1490137536806727683,🚬 Thank You for Smoking 🚬,elonmusk
126,2,2022-02-06 00:27:58+00:00,1490120045028122624,Tesla Model S &amp; X Plaid are so fun! https://t.co/lcaTVyEPzN,elonmusk
127,3,2022-02-06 00:26:05+00:00,1490119570752950272,"Extended tracking shot of Falcon 9
https://t.co/LlUIgOqCxC",elonmusk
128,0,2022-02-07 23:40:58+00:00,1490832993258450944,"Most news outlets attempt to answer the question: “What are the worst things happening on Earth today?”

It’s a big planet! Obviously, some bad things are happening somewhere at any given time, but focusing relentlessly on those does not give an accurate picture of reality.",elonmusk
129,1,2022-02-07 23:18:37+00:00,1490827367753056257,Why is the “traditional” media such a relentless hatestream? Real question.,elonmusk
130,2,2022-02-07 18:09:58+00:00,1490749693697081354,🎶Always look on the bright side of life🎶,elonmusk
131,3,2022-02-07 17:42:56+00:00,1490742889344864267,🤣,elonmusk
132,0,2022-02-09 21:34:13+00:00,1491525871517286404,Much appreciated! https://t.co/ncGA3LA7x9,elonmusk
133,0,2022-02-10 16:51:44+00:00,1491817170258563080,https://t.co/7IJbqbYzkA,elonmusk
134,1,2022-02-10 05:04:48+00:00,1491639263686844418,https://t.co/EmLdMdPizM,elonmusk
135,2,2022-02-10 04:53:52+00:00,1491636510642167809,https://t.co/BDP2yRxYpI,elonmusk
136,3,2022-02-10 04:31:58+00:00,1491631000232759305,Tower arms are lifting Starship onto Super Heavy Booster https://t.co/kJacH9sRBI,elonmusk
137,0,2022-02-11 20:01:33+00:00,1492227328386154509,"The duty of a leader is to serve their people, not for the people to serve them",elonmusk
138,0,2022-02-14 22:54:37+00:00,1493358044989767683,Over 250k Starlink user terminals,elonmusk
139,1,2022-02-14 19:44:02+00:00,1493310083014475778,Destacking Starship https://t.co/dUWz3uwwmb,elonmusk
140,0,2022-02-15 02:31:48+00:00,1493412698696171521,This will be real in our lifetime,elonmusk
141,1,2022-02-15 02:27:54+00:00,1493411717019230209,Starship to Mars simulation https://t.co/fkpYvv5pMR,elonmusk
142,0,2022-02-17 20:01:33+00:00,1494401652299898882,"An evolutionary asymmetry helpful to survival, but counterproductive when survival is not at stake",elonmusk
143,1,2022-02-17 19:57:29+00:00,1494400631712501764,Reasons to hate are remembered better than reasons to love,elonmusk
144,0,2022-02-18 23:49:57+00:00,1494821520815779843,So amazing that we decompress from a single cell to over 30 trillion cells,elonmusk
145,0,2022-02-20 02:52:48+00:00,1495229925799825408,I think it will reach #2,elonmusk
146,1,2022-02-20 02:51:12+00:00,1495229521443770370,I’m dropping a new album,elonmusk
147,2,2022-02-20 02:46:59+00:00,1495228461350227968,https://t.co/f6MMoldb8r,elonmusk
148,0,2022-02-21 23:22:01+00:00,1495901654872383499,Entertainment is becoming a username/password/2FA nightmare https://t.co/fKht3NKsho,elonmusk
149,0,2022-02-22 22:35:13+00:00,1496252264171941888,https://t.co/OrLV2c3qy2,elonmusk
150,1,2022-02-22 10:18:25+00:00,1496066844284928003,tau &gt; pi,elonmusk
151,2,2022-02-22 10:10:05+00:00,1496064747254525956,ℏ,elonmusk
152,3,2022-02-22 00:24:17+00:00,1495917323911409670,M Night should do a horror movie about this – it would resonate,elonmusk
153,0,2022-03-03 19:49:51+00:00,1499472139333746691,"Important warning: Starlink is the only non-Russian communications system still working in some parts of Ukraine, so probability of being targeted is high. Please use with caution.",elonmusk
154,0,2022-03-05 05:15:51+00:00,1499976967105433600,"Starlink has been told by some governments (not Ukraine) to block Russian news sources. We will not do so unless at gunpoint.

Sorry to be a free speech absolutist.",elonmusk
155,1,2022-03-05 04:59:24+00:00,1499972826828259328,"SpaceX reprioritized to cyber defense &amp; overcoming signal jamming. 

Will cause slight delays in Starship &amp; Starlink V2.",elonmusk
156,2,2022-03-05 01:22:00+00:00,1499918115018313728,"And also my sympathies to the great people of Russia, who do not want this",elonmusk
157,3,2022-03-05 01:21:07+00:00,1499917894767063043,🇺🇦🇺🇦🇺🇦 Hold Strong Ukraine 🇺🇦🇺🇦🇺🇦,elonmusk
